,metadata,ArticleID,index,last name,first name,AuthorName,clean name,confirmed name,Sex
15761,"Henriques, Alice",18214,,Henriques, Alice, Alice Henriques,Alice Henriques,Alice Henriques,Female
15762,"Krimmel, Jacob",18214,,Krimmel, Jacob, Jacob Krimmel,,,
15763,"Sabelhaus, John",18214,,Sabelhaus, John, John Sabelhaus,,,
15764,"Vermeulen, Philip",18215,,Vermeulen, Philip, Philip Vermeulen,,,
15765,"Boserup, Simon H.",18216,,Boserup, Simon H., Simon H. Boserup,,,
15766,"Kopczuk, Wojciech",18216,,Kopczuk, Wojciech, Wojciech Kopczuk,Wojciech Kopczuk,Wojciech Kopczuk,Male
15767,"Kopczuk, Wojciech",23659,,Kopczuk, Wojciech, Wojciech Kopczuk,Wojciech Kopczuk,Wojciech Kopczuk,Male
15768,"Kreiner, Claus T.",18216,,Kreiner, Claus T., Claus T. Kreiner,Claus T. Kreiner,Claus Thustrup Kreiner,Male
15769,"Gordon, Robert",18217,,Gordon, Robert, Robert Gordon,Robert Gordon,Robert Gordon,Male
15770,"Joulfaian, David",18217,,Joulfaian, David, David Joulfaian,David Joulfaian,David Joulfaian,Male
15771,"Bean, Charles",18218,,Bean, Charles, Charles Bean,Charles Bean,Charles Bean,Male
15772,"Bean, Charles",28763,,Bean, Charles, Charles Bean,Charles Bean,Charles Bean,Male
15773,"Keane, Michael P.",18220,,Keane, Michael P., Michael P. Keane,Michael P. Keane,Michael P. Keane,Male
15774,"Keane, Michael P.",18220,,Keane, Michael P., Michael P. Keane,Michael P. Keane,Michael P. Keane,Male
15775,"Keane, Michael P.",18252,,Keane, Michael P., Michael P. Keane,Michael P. Keane,Michael P. Keane,Male
15776,"Keane, Michael P.",18252,,Keane, Michael P., Michael P. Keane,Michael P. Keane,Michael P. Keane,Male
15777,"Van Dijk, Dick",18221,,Van Dijk, Dick, Dick Van Dijk,Dick Van Dijk,Dick Van Dijk,Male
15778,"Lumsdaine, Robin L.",18221,,Lumsdaine, Robin L., Robin L. Lumsdaine,Robin L. Lumsdaine,Robin L. Lumsdaine,Female
15779,"Van Der Wel, Michel",18221,,Van Der Wel, Michel, Michel Van Der Wel,,,
15780,"Cubel, Maria",18222,,Cubel, Maria, Maria Cubel,,,
15781,"Cubel, Maria",18640,,Cubel, Maria, Maria Cubel,,,
15782,"Nuevo-Chiquero, Ana",18222,,Nuevo-Chiquero, Ana, Ana Nuevo-Chiquero,Ana Nuevo-Chiquero,Ana Nuevo-Chiquero,Female
15783,"Sanchez-Pages, Santiago",18222,,Sanchez-Pages, Santiago, Santiago Sanchez-Pages,,,
15784,"Sanchez-Pages, Santiago",18640,,Sanchez-Pages, Santiago, Santiago Sanchez-Pages,,,
