,0,AuthorID
388,"DARLING, PG",10007
389,"CIGNO, A",10008
390,"Wolfram, C",10009
391,"YANG, CC",10010
392,"Wager, Stefan",10011
393,"Jones, SRG",10012
394,"Hopenhayn, Hugo",10013
395,"Coffey, Diane",10014
396,"LAING, D",10015
397,"Kearney, MS",10016
398,"Rosenson, Alex Moses",10017
399,"Rud, Juan Pablo",10018
400,"Knack, S",10019
401,"MEYER, FV",10020
402,"Gollin, D",10021
403,"RENSHAW, EF",10022
404,"Gurgand, Marc",10023
405,"MARINO, AM",10024
406,"Corcoran, SP",10025
407,"Sobotka, Stephen P.",10026
408,"DORRINGTON, JC",10027
409,"MITRA, T",10028
410,"BUCKLEY, PJ",10029
411,"PEER, H",10030
412,"Dietz, Simon",10031
413,"BECKER, SW",10032
414,"PETERSEN, JH",10033
415,"Rostow, Eugene V.",10034
416,"Burkart, Mike",10035
417,"Hollander, Stephan",10036
418,"Lai, TL",10037
419,"Rottenberg, Simon",10038
420,"Friedman, Willa H.",10039
421,"DEALESSI, L",10040
422,"Greaves, Ida",10041
423,"BIRD, RM",10042
424,"Younger, Stephen D.",10043
425,"Li, Choh-Ming",10044
426,"HIBBS, DA",10045
427,"Mitchener, Kris James",10046
428,"CLOWER, RW",10047
429,"Aubrey, Henry G.",10048
430,"ROSSE, JN",10049
431,"SHORROCKS, A",10050
432,"HAMMETT, RS",10051
433,"Rockoff, Jonah",10052
434,"James, Robert",10053
435,"Mcnatt, E. B.",10054
436,"STEVENSON, T",10055
437,"Nicholson, J. L.",10056
438,"GREENHALGH, CA",10057
439,"Cockx, B",10058
440,"Tinbergen, J.",10059
441,"Ricchi, O",10060
442,"FITOUSSI, JP",10061
443,"Tabellini, Guido",10062
444,"Lopez-Salido, JD",10063
445,"Sussman, Oren",10064
446,"KLEIN, RW",10065
447,"CHIPMAN, JS",10066
448,"Blank, RM",10067
449,"Bishop, JH",10068
450,"Goos, Maarten",10069
451,"LEWIS, SR",10070
452,"Zeldes, SP",10071
453,"Doblin, Ernest M.",10072
454,"MCCAFFERTY, S",10073
455,"Nakavachara, Voraprapa",10074
456,"Carstens, A",10075
457,"Hunt, Pearson",10076
458,"DEAN, JW",10077
459,"Roberts, James W.",10078
460,"Cao, Dan",10079
461,"GOTTLIEB, M",10080
462,"Schnitzer, M",10081
463,"de Beers, John S.",10082
464,"Dynan, Karen E.",10083
465,"Ulph, David",10084
466,"Zenou, Yves",10085
467,"Lewis, W. Arthur",10086
468,"Bernheim, BD",10087
469,"Goodhart, C",10088
470,"Vejlin, Rune",10089
471,"RANKIN, N",10090
472,"Ortuno-Ortin, Ignacio",10091
473,"JORGENSON, DW",10092
474,"Collyer, Kate",10093
475,"Fevrier, Philippe",10094
476,"KEUZENKAMP, HA",10095
477,"Blau, Francine D.",10096
478,"REY, G",10097
479,"Halliday, Timothy J.",10098
480,"Anderson, JE",10099
481,"Tawney, R. H.",10100
482,"McCabe, M",10101
483,"Buchmueller, T",10102
484,"SODERLIND, P",10103
485,"Zhang, T",10104
486,"MANCKE, RB",10105
487,"deMeza, D",10106
488,"Heidhues, Paul",10107
489,"Cloyne, James",10108
490,"HAVENNER, A",10109
491,"McGoldrick, KimMarie",10110
492,"Schmeidler, David",10111
493,"Hartmann, Lorenz",10112
494,"BHALLA, SS",10113
495,"WU, YL",10114
496,"BONNER, J",10115
497,"REES, HJB",10116
498,"Winter-Ebmer, Rudolf",10117
499,"Stockfisch, J. A.",10118
500,"Lendle, Andreas",10119
501,"Hagen, DA",10120
502,"Kervyn, A.",10121
503,"JACOBY, NH",10122
504,"GREEN, L",10123
505,"NAGATANI, K",10124
506,"YOHE, G",10125
507,"Heijdra, BJ",10126
508,"Del Boca, Daniela",10127
509,"WARRENBOULTON, FR",10128
510,"Belloc, Marianna",10129
511,"ABEL, AB",10130
512,"Chandra, Amitabh",10131
513,"Rocco, Lorenzo",10132
514,"Ostry, Jonathan D.",10133
515,"de la Fuente, A",10134
516,"DUBOFF, RB",10135
517,"James, John A.",10136
518,"Fellner, William J.",10137
519,"Schotter, Andrew",10138
520,"Powell, A",10139
521,"Afzal, Uzma",10140
522,"Sinkinson, Michael",10141
