,metadata,last name,first name
234,"Robertson, Dh",Robertson, Dh
235,"Dejong, Fj",Dejong, Fj
236,"Robinson, A",Robinson, A
237,"Downie, J",Downie, J
238,"Montrose, Jl",Montrose, Jl
239,"Hunter, A",Hunter, A
240,"Tinbergen, J",Tinbergen, J
241,"Hawtrey, R",Hawtrey, R
242,"Williams, G",Williams, G
244,"Brockie, Md",Brockie, Md
245,"Grey, Al",Grey, Al
247,"Malenbaum, W",Malenbaum, W
250,"Blaug, M",Blaug, M
251,"Wallace, Rf",Wallace, Rf
252,"Richter, Jh",Richter, Jh
254,"Kreinin, Me",Kreinin, Me
255,"Fox, Ka",Fox, Ka
256,"Kravis, Ib",Kravis, Ib
257,"Letwin, Wl",Letwin, Wl
258,"Tiebout, Cm",Tiebout, Cm
259,"North, Dc",North, Dc
262,"Johnson, Dg",Johnson, Dg
263,"Johnson, Hg",Johnson, Hg
264,"Hasson, Ja",Hasson, Ja
265,"Rottenberg, S",Rottenberg, S
266,"Kahan, A",Kahan, A
268,"Bergson, A",Bergson, A
269,"Bernaut, R",Bernaut, R
270,"Turgeon, L",Turgeon, L
271,"Leeman, Wa",Leeman, Wa
272,"Moore, Ca",Moore, Ca
273,"Parrish, Jb",Parrish, Jb
274,"Auten, Jh",Auten, Jh
277,"Adler, Jh",Adler, Jh
283,"Murphy, Jc",Murphy, Jc
285,"Corbin, Da",Corbin, Da
286,"Break, Gf",Break, Gf
287,"Samuelson, Pa",Samuelson, Pa
288,"Miller, E",Miller, E
289,"Cyert, Rm",Cyert, Rm
290,"March, Jg",March, Jg
291,"Solow, Rm",Solow, Rm
292,"Levitt, T",Levitt, T
293,"Levin, Hj",Levin, Hj
295,"Lerdau, E",Lerdau, E
296,"Rowe, J",Rowe, J
297,"Robinson, R",Robinson, R
298,"Markham, Jw",Markham, Jw
300,"Sheahan, J",Sheahan, J
301,"Roberts, Dr",Roberts, Dr
302,"Stockfisch, Ja",Stockfisch, Ja
304,"Guttentag, J",Guttentag, J
305,"Arant, Wd",Arant, Wd
307,"Harbison, F",Harbison, F
309,"Strassmann, Wp",Strassmann, Wp
310,"Felix, D",Felix, D
311,"Segal, M",Segal, M
312,"Campbell, Rw",Campbell, Rw
313,"Quandt, Re",Quandt, Re
317,"Schlesinger, Jr",Schlesinger, Jr
318,"Alexander, Kjw",Alexander, Kjw
321,"Galenson, W",Galenson, W
323,"Jones, Rw",Jones, Rw
325,"Lancaster, K",Lancaster, K
326,"Dobb, M",Dobb, M
327,"Holton, Rh",Holton, Rh
328,"Pearce, If",Pearce, If
329,"Amey, Lr",Amey, Lr
331,"Klein, Lr",Klein, Lr
332,"Turvey, R",Turvey, R
333,"Strotz, Rh",Strotz, Rh
334,"Stuvel, G",Stuvel, G
335,"Stykolt, S",Stykolt, S
336,"Scott, A",Scott, A
338,"Wicker, Er",Wicker, Er
339,"Hazelwood, A",Hazelwood, A
340,"Beckmann, Mj",Beckmann, Mj
344,"Robinson, J",Robinson, J
345,"Moses, Leon N.",Moses, Leon N.
346,"Reder, M. W.",Reder, M. W.
347,"Horowitz, Morris A.",Horowitz, Morris A.
348,"Wolf, Charles, Jr.",Wolf, Charles
349,"Hildebrand, George H.",Hildebrand, George H.
350,"Friedman, Milton",Friedman, Milton
351,"Nelson, James C.",Nelson, James C.
352,"Robbins, Lionel",Robbins, Lionel
353,"Higgins, B.",Higgins, B.
354,"Brems, Hans",Brems, Hans
355,"Wright, A. Ll.",Wright, A. Ll.
356,"Balogh, T.",Balogh, T.
357,"Edwards, Edgar O.",Edwards, Edgar O.
358,"Davies, J. H.",Davies, J. H.
359,"Wolfe, J. N.",Wolfe, J. N.
360,"Maddison, A.",Maddison, A.
361,"King, Frank H. H.",King, Frank H. H.
362,"Gordon, Scott",Gordon, Scott
363,"Ozga, S. A.",Ozga, S. A.
364,"Heady, Earl O.",Heady, Earl O.
365,"Michaely, Michael",Michaely, Michael
366,"Nutter, G. Warren",Nutter, G. Warren
367,"Mason, Will E.",Mason, Will E.
368,"Boulding, K. E.",Boulding, K. E.
369,"Alhadeff, Charlotte P.",Alhadeff, Charlotte P.
370,"Alhadeff, David A.",Alhadeff, David A.
371,"Hunter, Alex",Hunter, Alex
372,"Brimmer, Andrew F.",Brimmer, Andrew F.
373,"Glassburner, Bruce",Glassburner, Bruce
374,"Hirshleifer, Jack",Hirshleifer, Jack
375,"Scitovsky, Tibor",Scitovsky, Tibor
376,"Leibenstein, Harvey",Leibenstein, Harvey
377,"Henderson, James M.",Henderson, James M.
378,"Quandt, Richard E.",Quandt, Richard E.
379,"Nevin, Edward",Nevin, Edward
380,"Chipman, J. S.",Chipman, J. S.
381,"Shubik, M.",Shubik, M.
382,"Morin, Francois",Morin, Francois
383,"Burger, E.",Burger, E.
384,"Bennett, M. K.",Bennett, M. K.
385,"Bauer, P. T.",Bauer, P. T.
386,"Weintraub, Robert E.",Weintraub, Robert E.
387,"Brown, E. Cary",Brown, E. Cary
388,"Thomson, Procter",Thomson, Procter
389,"Stockfisch, J. A.",Stockfisch, J. A.
390,"Gurley, John G.",Gurley, John G.
391,"Shaw, E. S.",Shaw, E. S.
392,"Eckaus, R. S.",Eckaus, R. S.
393,"Street, James H.",Street, James H.
394,"Fox, Karl A.",Fox, Karl A.
395,"Taeuber, Richard C.",Taeuber, Richard C.
396,"Campbell, Colin D.",Campbell, Colin D.
397,"Campbell, Rosemary G.",Campbell, Rosemary G.
398,"Hurwicz, Leonid",Hurwicz, Leonid
399,"Valavanis, Stefan",Valavanis, Stefan
400,"Hicks, J. R.",Hicks, J. R.
402,"Robertson, D. H.",Robertson, D. H.
403,"Smith, H.",Smith, H.
404,"Wright, Carl Major",Wright, Carl Major
405,"Brown, Weir M.",Brown, Weir M.
406,"Nicholson, R. J.",Nicholson, R. J.
407,"Macdougall, Donald",Macdougall, Donald
408,"Ramaswami, V. K.",Ramaswami, V. K.
409,"Kemp, Murray C.",Kemp, Murray C.
411,"De Jong, F. J.",De Jong, F. J.
412,"Stern, Ernest H.",Stern, Ernest H.
413,"Malthus, T. R.",Malthus, T. R.
414,"Sraffa, P.",Sraffa, P.
415,"Tew, Brian",Tew, Brian
417,"Niculescu, B. M.",Niculescu, B. M.
418,"Gehrels, Franz",Gehrels, Franz
419,"Johnston, Bruce F.",Johnston, Bruce F.
420,"Morris, Morris David",Morris, Morris David
421,"Harsanyi, John C.",Harsanyi, John C.
422,"Bruton, Henry J.",Bruton, Henry J.
423,"Wilson, George W.",Wilson, George W.
424,"Smith, Robert S.",Smith, Robert S.
425,"Carson, Deane",Carson, Deane
426,"Galenson, Walter",Galenson, Walter
428,"Letiche, J. M.",Letiche, J. M.
429,"Wolfe, Martin",Wolfe, Martin
430,"Freedman, Robert, Jr.",Freedman, Robert
431,"Zauberman, Alfred",Zauberman, Alfred
