,metadata,ArticleID,index,last name,first name,AuthorName
140,"Whittlesey, Cr",11854,,Whittlesey, Cr, Cr Whittlesey
141,"Stewart, Cd",11855,,Stewart, Cd, Cd Stewart
142,"Brownlee, Oh",11856,,Brownlee, Oh, Oh Brownlee
143,"Heller, Ww",11856,,Heller, Ww, Ww Heller
144,"Hart, Ag",11857,,Hart, Ag, Ag Hart
145,"Schelling, Tc",11858,,Schelling, Tc, Tc Schelling
146,"Bogue, Dj",11859,,Bogue, Dj, Dj Bogue
147,"Rapkin, C",11860,,Rapkin, C, C Rapkin
148,"Davis, K",11861,,Davis, K, K Davis
149,"Gordon, Ra",11862,,Gordon, Ra, Ra Gordon
150,"Kellogg, Ce",11863,,Kellogg, Ce, Ce Kellogg
151,"Meyer, Fv",11864,,Meyer, Fv, Fv Meyer
152,"Slesinger, Re",11865,,Slesinger, Re, Re Slesinger
153,"Maher, Je",11866,,Maher, Je, Je Maher
154,"Spengler, Jj",11867,,Spengler, Jj, Jj Spengler
155,"Brems, H",11868,,Brems, H, H Brems
156,"Cullen, De",11869,,Cullen, De, De Cullen
157,"Theil, H",11870,,Theil, H, H Theil
158,"Spulber, N",11871,,Spulber, N, N Spulber
159,"Morgan, Jn",11872,,Morgan, Jn, Jn Morgan
160,"Alton, Tp",11873,,Alton, Tp, Tp Alton
161,"Christ, Cf",11874,,Christ, Cf, Cf Christ
162,"Bronfenbrenner, M",11875,,Bronfenbrenner, M, M Bronfenbrenner
163,"Millikan, M",11876,,Millikan, M, M Millikan
164,"Patinkin, D",11877,,Patinkin, D, D Patinkin
165,"Carlson, S",11878,,Carlson, S, S Carlson
166,"Schultz, Tw",11879,,Schultz, Tw, Tw Schultz
167,"Hance, Wa",11880,,Hance, Wa, Wa Hance
168,"Herskovits, Mj",11881,,Herskovits, Mj, Mj Herskovits
169,"Mason, Es",11882,,Mason, Es, Es Mason
170,"Brewster, K",11883,,Brewster, K, K Brewster
171,"Wilcox, C",11884,,Wilcox, C, C Wilcox
172,"Taff, Ca",11885,,Taff, Ca, Ca Taff
173,"Seymour, W",11886,,Seymour, W, W Seymour
174,"Lindahl, Ml",11887,,Lindahl, Ml, Ml Lindahl
175,"Tsiang, Sc",11888,,Tsiang, Sc, Sc Tsiang
176,"Jacoby, Nh",11889,,Jacoby, Nh, Nh Jacoby
177,"White, Wh",11890,,White, Wh, Wh White
178,"Smith, Wl",11891,,Smith, Wl, Wl Smith
179,"Bodenhorn, D",11892,,Bodenhorn, D, D Bodenhorn
180,"Bauer, Pt",11893,,Bauer, Pt, Pt Bauer
181,"Weintraub, S",11894,,Weintraub, S, S Weintraub
182,"Brown, Ec",11895,,Brown, Ec, Ec Brown
183,"Wemelsfelder, J",11896,,Wemelsfelder, J, J Wemelsfelder
184,"Nelson, Rr",11897,,Nelson, Rr, Rr Nelson
185,"Ellsberg, D",11898,,Ellsberg, D, D Ellsberg
186,"Grampp, Wd",11899,,Grampp, Wd, Wd Grampp
187,"Suranyiunger, T",11900,,Suranyiunger, T, T Suranyiunger
188,"Fellner, W",11901,,Fellner, W, W Fellner
189,"Reid, Mg",11902,,Reid, Mg, Mg Reid
190,"Boiteux, M",11903,,Boiteux, M, M Boiteux
191,"Kemp, Mc",11904,,Kemp, Mc, Mc Kemp
192,"Majumdar, T",11905,,Majumdar, T, T Majumdar
193,"Simon, Ha",11906,,Simon, Ha, Ha Simon
194,[Anonymous],11907,,[Anonymous],MISSING,MISSING [Anonymous]
195,"Kemeny, Jg",11908,,Kemeny, Jg, Jg Kemeny
196,"Morgenstern, O",11908,,Morgenstern, O, O Morgenstern
197,"Thompson, Gl",11908,,Thompson, Gl, Gl Thompson
198,"Hirsch, Wz",11909,,Hirsch, Wz, Wz Hirsch
199,"Harsanyi, Jc",11910,,Harsanyi, Jc, Jc Harsanyi
200,"Tizard, Rh",11911,,Tizard, Rh, Rh Tizard
201,"Beckerman, W",11912,,Beckerman, W, W Beckerman
202,"Freund, Rj",11913,,Freund, Rj, Rj Freund
203,"Vandantzig, D",11914,,Vandantzig, D, D Vandantzig
204,"Banerjee, Ks",11915,,Banerjee, Ks, Ks Banerjee
205,"Fei, Jch",11916,,Fei, Jch, Jch Fei
206,"Mcmanus, M",11917,,Mcmanus, M, M Mcmanus
207,"Burger, E",11918,,Burger, E, E Burger
208,"Harrod, Rf",11919,,Harrod, Rf, Rf Harrod
209,"Einzig, P",11920,,Einzig, P, P Einzig
210,"Rostow, Ww",11921,,Rostow, Ww, Ww Rostow
211,"Norton, Fe",11922,,Norton, Fe, Fe Norton
212,"Brumberg, Re",11923,,Brumberg, Re, Re Brumberg
213,"Sherwood, Pw",11924,,Sherwood, Pw, Pw Sherwood
214,"Ponsonby, Gj",11925,,Ponsonby, Gj, Gj Ponsonby
215,"Meek, Rl",11926,,Meek, Rl, Rl Meek
216,"Beckerman, W",11927,,Beckerman, W, W Beckerman
217,"Shackle, Gls",11928,,Shackle, Gls, Gls Shackle
218,"Penrose, Et",11929,,Penrose, Et, Et Penrose
219,"Youngson, Aj",11930,,Youngson, Aj, Aj Youngson
220,"Wiles, P",11931,,Wiles, P, P Wiles
221,"Enthoven, Ac",11932,,Enthoven, Ac, Ac Enthoven
222,"Farnsworth, Hc",11933,,Farnsworth, Hc, Hc Farnsworth
223,"Jones, Wo",11933,,Jones, Wo, Wo Jones
224,"Hutchison, Tw",11934,,Hutchison, Tw, Tw Hutchison
225,"Harrod, Rf",11935,,Harrod, Rf, Rf Harrod
226,"Walker, G",11936,,Walker, G, G Walker
227,"Ozga, Sa",11937,,Ozga, Sa, Sa Ozga
228,"Richardson, Jh",11938,,Richardson, Jh, Jh Richardson
229,"Adams, Aa",11939,,Adams, Aa, Aa Adams
230,"Stewart, Ig",11939,,Stewart, Ig, Ig Stewart
231,"Bruton, Hj",11940,,Bruton, Hj, Hj Bruton
232,"Nicholson, Rj",11941,,Nicholson, Rj, Rj Nicholson
