,metadata,Clean Name,Possible Match,Possible Sex
169,"Ellsberg, D", D Ellsberg,Caroline Freund,Female
170,"Grampp, Wd", Wd Grampp,,
171,"Suranyiunger, T", T Suranyiunger,K. S. Banerjee,Male
172,"Fellner, W", W Fellner,John C. H. Fei,Male
173,"Reid, Mg", Mg Reid,,
174,"Boiteux, M", M Boiteux,,
175,"Majumdar, T", T Majumdar,,
176,"Simon, Ha", Ha Simon,Michael I. Norton,Male
177,[Anonymous],MISSING [Anonymous],,
178,"Kemeny, Jg", Jg Kemeny,,
179,"Morgenstern, O", O Morgenstern,,
180,"Thompson, Gl", Gl Thompson,,
181,"Hirsch, Wz", Wz Hirsch,,
182,"Harsanyi, Jc", Jc Harsanyi,,
183,"Tizard, Rh", Rh Tizard,,
184,"Beckerman, W", W Beckerman,,
185,"Freund, Rj", Rj Freund,Alain C. Enthoven,Male
186,"Vandantzig, D", D Vandantzig,,
187,"Banerjee, Ks", Ks Banerjee,,
188,"Fei, Jch", Jch Fei,Terence Wilmot Hutchison,Male
189,"Burger, E", E Burger,,
190,"Harrod, Rf", Rf Harrod,Abi Adams,Female
191,"Einzig, P", P Einzig,,
192,"Rostow, Ww", Ww Rostow,,
193,"Norton, Fe", Fe Norton,Scott Nicholson,Male
194,"Brumberg, Re", Re Brumberg,,
195,"Sherwood, Pw", Pw Sherwood,Raymond Robertson,Male
196,"Ponsonby, Gj", Gj Ponsonby,,
197,"Meek, Rl", Rl Meek,Abraham Robinson,Male
198,"Shackle, Gls", Gls Shackle,,
199,"Penrose, Et", Et Penrose,Jerald Hunter,Male
200,"Youngson, Aj", Aj Youngson,Jan Tinbergen,Male
201,"Wiles, P", P Wiles,,
202,"Enthoven, Ac", Ac Enthoven,,
203,"Farnsworth, Hc", Hc Farnsworth,,
204,"Jones, Wo", Wo Jones,,
205,"Hutchison, Tw", Tw Hutchison,,
206,"Walker, G", G Walker,,
207,"Richardson, Jh", Jh Richardson,,
208,"Adams, Aa", Aa Adams,,
209,"Stewart, Ig", Ig Stewart,,
210,"Bruton, Hj", Hj Bruton,,
211,"Nicholson, Rj", Rj Nicholson,,
212,"Hawtrey, Rg", Rg Hawtrey,Douglass C. North,Male
213,"Robertson, Dh", Dh Robertson,David S. Johnson,Male
214,"Dejong, Fj", Fj Dejong,Harry G. Johnson,Male
215,"Robinson, A", A Robinson,,
216,"Downie, J", J Downie,,
217,"Montrose, Jl", Jl Montrose,,
218,"Hunter, A", A Hunter,Abram Bergson,Male
219,"Tinbergen, J", J Tinbergen,,
220,"Hawtrey, R", R Hawtrey,,
221,"Williams, G", G Williams,,
222,"Brockie, Md", Md Brockie,,
223,"Grey, Al", Al Grey,Gerald E. Auten,Male
224,"Malenbaum, W", W Malenbaum,,
225,"Blaug, M", M Blaug,Paul A. Samuelson,Male
226,"Wallace, Rf", Rf Wallace,,
227,"Richter, Jh", Jh Richter,Richard M. Cyert,Male
228,"Kreinin, Me", Me Kreinin,Robert M. Solow,Male
229,"Fox, Ka", Ka Fox,Steven D. Levitt,Male
230,"Kravis, Ib", Ib Kravis,,
231,"Letwin, Wl", Wl Letwin,,
232,"Tiebout, Cm", Cm Tiebout,Deryck A. Rowe,Male
233,"North, Dc", Dc North,,
234,"Johnson, Dg", Dg Johnson,Donald John Roberts,Male
235,"Johnson, Hg", Hg Johnson,,
236,"Hasson, Ja", Ja Hasson,Jack M. Guttentag,Male
237,"Rottenberg, S", S Rottenberg,,
238,"Kahan, A", A Kahan,,
239,"Bergson, A", A Bergson,,
240,"Bernaut, R", R Bernaut,,
241,"Turgeon, L", L Turgeon,,
242,"Leeman, Wa", Wa Leeman,Richard E. Quandt,Male
243,"Moore, Ca", Ca Moore,Harris Schlesinger,Male
244,"Parrish, Jb", Jb Parrish,,
245,"Auten, Jh", Jh Auten,David W. Galenson,Male
246,"Adler, Jh", Jh Adler,,
247,"Murphy, Jc", Jc Murphy,Robert H. Strotz,Male
248,"Corbin, Da", Da Corbin,,
249,"Break, Gf", Gf Break,Anthony D. Scott,Male
250,"Samuelson, Pa", Pa Samuelson,Elmus R. Wicker,Male
251,"Miller, E", E Miller,,
252,"Cyert, Rm", Rm Cyert,Martin J. Beckmann,Male
253,"March, Jg", Jg March,,
254,"Solow, Rm", Rm Solow,,
255,"Levitt, T", T Levitt,Melvin W. Reder,Male
256,"Levin, Hj", Hj Levin,Joel L. Horowitz,Male
257,"Lerdau, E", E Lerdau,,
258,"Rowe, J", J Rowe,Milton Friedman,Male
259,"Robinson, R", R Robinson,Julie A. Nelson,Female
260,"Markham, Jw", Jw Markham,Lord Robbins,Male
261,"Sheahan, J", J Sheahan,Hans Brems,Male
262,"Roberts, Dr", Dr Roberts,,
263,"Stockfisch, Ja", Ja Stockfisch,,
264,"Guttentag, J", J Guttentag,,
265,"Arant, Wd", Wd Arant,John R. Wolfe,Male
266,"Harbison, F", F Harbison,,
267,"Strassmann, Wp", Wp Strassmann,,
268,"Felix, D", D Felix,Earl O. Heady,Male
269,"Segal, M", M Segal,,
270,"Campbell, Rw", Rw Campbell,,
271,"Quandt, Re", Re Quandt,William M. Mason,Male
272,"Schlesinger, Jr", Jr Schlesinger,Jerald Hunter,Male
273,"Alexander, Kjw", Kjw Alexander,,
274,"Galenson, W", W Galenson,,
275,"Jones, Rw", Rw Jones,J. Vernon Henderson,Male
276,"Lancaster, K", K Lancaster,,
277,"Dobb, M", M Dobb,John S. Chipman,Male
278,"Holton, Rh", Rh Holton,Martin Shubik,Male
279,"Pearce, If", If Pearce,,
280,"Amey, Lr", Lr Amey,,
281,"Klein, Lr", Lr Klein,,
282,"Turvey, R", R Turvey,Robert Weintraub,Male
283,"Strotz, Rh", Rh Strotz,,
284,"Stuvel, G", G Stuvel,,
285,"Stykolt, S", S Stykolt,,
286,"Scott, A", A Scott,,
287,"Wicker, Er", Er Wicker,,
288,"Hazelwood, A", A Hazelwood,,
289,"Beckmann, Mj", Mj Beckmann,,
290,"Robinson, J", J Robinson,Leonid Hurwicz,Male
291,"Moses, Leon N.", Leon N. Moses,,
292,"Reder, M. W.", M. W. Reder,,
293,"Horowitz, Morris A.", Morris A. Horowitz,Raymond Robertson,Male
294,"Wolf, Charles, Jr.", Charles Wolf,Howard Smith,Male
295,"Hildebrand, George H.", George H. Hildebrand,Colin Wright,Male
296,"Friedman, Milton", Milton Friedman,,
297,"Nelson, James C.", James C. Nelson,Scott Nicholson,Male
298,"Robbins, Lionel", Lionel Robbins,,
299,"Higgins, B.", B. Higgins,V. K. Ramaswami,Male
300,"Brems, Hans", Hans Brems,Murray C. Kemp,Male
301,"Wright, A. Ll.", A. Ll. Wright,,
302,"Balogh, T.", T. Balogh,,
303,"Edwards, Edgar O.", Edgar O. Edwards,,
304,"Davies, J. H.", J. H. Davies,,
305,"Wolfe, J. N.", J. N. Wolfe,,
306,"Maddison, A.", A. Maddison,,
307,"King, Frank H. H.", Frank H. H. King,,
308,"Gordon, Scott", Scott Gordon,,
309,"Ozga, S. A.", S. A. Ozga,Stephen Morris,Male
310,"Heady, Earl O.", Earl O. Heady,John C. Harsanyi,Male
311,"Michaely, Michael", Michael Michaely,,
312,"Nutter, G. Warren", G. Warren Nutter,,
313,"Mason, Will E.", Will E. Mason,,
314,"Boulding, K. E.", K. E. Boulding,,
315,"Alhadeff, Charlotte P.", Charlotte P. Alhadeff,David W. Galenson,Male
316,"Alhadeff, David A.", David A. Alhadeff,,
317,"Hunter, Alex", Alex Hunter,,
318,"Brimmer, Andrew F.", Andrew F. Brimmer,Matthew Freedman,Male
319,"Glassburner, Bruce", Bruce Glassburner,,
320,"Hirshleifer, Jack", Jack Hirshleifer,,
321,"Scitovsky, Tibor", Tibor Scitovsky,,
322,"Leibenstein, Harvey", Harvey Leibenstein,J. Vernon Henderson,Male
323,"Henderson, James M.", James M. Henderson,Albert Rex Bergstrom,Male
324,"Quandt, Richard E.", Richard E. Quandt,,
325,"Nevin, Edward", Edward Nevin,,
326,"Chipman, J. S.", J. S. Chipman,,
327,"Shubik, M.", M. Shubik,,
328,"Morin, Francois", Francois Morin,Jessica Cohen,Female
329,"Burger, E.", E. Burger,,
330,"Bennett, M. K.", M. K. Bennett,,
331,"Bauer, P. T.", P. T. Bauer,,
332,"Weintraub, Robert E.", Robert E. Weintraub,Scott Nicholson,Male
333,"Brown, E. Cary", E. Cary Brown,Arthur Campbell,Male
334,"Thomson, Procter", Procter Thomson,,
335,"Stockfisch, J. A.", J. A. Stockfisch,,
336,"Gurley, John G.", John G. Gurley,Ian J. Irvine,Male
337,"Shaw, E. S.", E. S. Shaw,,
338,"Eckaus, R. S.", R. S. Eckaus,,
339,"Street, James H.", James H. Street,,
340,"Fox, Karl A.", Karl A. Fox,,
341,"Taeuber, Richard C.", Richard C. Taeuber,,
342,"Campbell, Colin D.", Colin D. Campbell,Douglass C. North,Male
343,"Campbell, Rosemary G.", Rosemary G. Campbell,Terence Wilmot Hutchison,Male
344,"Hurwicz, Leonid", Leonid Hurwicz,Robert Dorfman,Male
345,"Valavanis, Stefan", Stefan Valavanis,Hollis B. Chenery,Male
346,"Hicks, J. R.", J. R. Hicks,D. F. Nicholls,Male
347,"Robertson, D. H.", D. H. Robertson,,
348,"Smith, H.", H. Smith,,
349,"Wright, Carl Major", Carl Major Wright,,
350,"Brown, Weir M.", Weir M. Brown,,
351,"Nicholson, R. J.", R. J. Nicholson,Laura Power,Female
352,"Macdougall, Donald", Donald Macdougall,,
353,"Ramaswami, V. K.", V. K. Ramaswami,Martin Bronfenbrenner,Male
354,"Kemp, Murray C.", Murray C. Kemp,Richard E. Baldwin,Male
355,"De Jong, F. J.", F. J. De Jong,,
356,"Stern, Ernest H.", Ernest H. Stern,,
357,"Malthus, T. R.", T. R. Malthus,,
358,"Sraffa, P.", P. Sraffa,,
359,"Tew, Brian", Brian Tew,,
360,"Niculescu, B. M.", B. M. Niculescu,,
361,"Gehrels, Franz", Franz Gehrels,Stephen P. Holland,Male
362,"Johnston, Bruce F.", Bruce F. Johnston,,
363,"Morris, Morris David", Morris David Morris,,
364,"Harsanyi, John C.", John C. Harsanyi,,
365,"Bruton, Henry J.", Henry J. Bruton,Gerald A. Whitney,Male
366,"Wilson, George W.", George W. Wilson,,
367,"Smith, Robert S.", Robert S. Smith,,
368,"Carson, Deane", Deane Carson,,
369,"Galenson, Walter", Walter Galenson,,
370,"Letiche, J. M.", J. M. Letiche,,
371,"Wolfe, Martin", Martin Wolfe,,
372,"Freedman, Robert, Jr.", Robert Freedman,Franklin R. Edwards,Male
373,"Zauberman, Alfred", Alfred Zauberman,,
374,"Oxenfeldt, Alfred R.", Alfred R. Oxenfeldt,,
375,"Van Den Haag, Ernest", Ernest Van Den Haag,,
376,"Henderson, John P.", John P. Henderson,,
377,"Bergstrom, A. R.", A. R. Bergstrom,Anthony D. Scott,Male
378,"Frechet, Maurice", Maurice Frechet,,
379,"Machlup, Fritz", Fritz Machlup,Arthur S. Goldberger,Male
380,"Morgan, E. Victor", E. Victor Morgan,Henri Theil,Male
381,"Frankel, Marvin", Marvin Frankel,,
382,"Cohen, Jacob", Jacob Cohen,James Tobin,Male
383,"Wells, Paul", Paul Wells,Anthony D. Scott,Male
384,"Hansen, Alvin H.", Alvin H. Hansen,Mark Jenkins,Male
385,"Tyszynski, H.", H. Tyszynski,,
386,"Nicholson, J. L.", J. L. Nicholson,Brian Knight,Male
387,"Campbell, A. D.", A. D. Campbell,,
388,"Fleming, Marcus", Marcus Fleming,,
389,"Archibald, G. C.", G. C. Archibald,Avinash K. Dixit,Male
390,"Irvine, A. G.", A. G. Irvine,,
391,"Tawney, R. H.", R. H. Tawney,Ernst Fehr,Male
392,"Sturmthal, Adolf", Adolf Sturmthal,Christian Zehnder,Male
393,"Hough, Louis", Louis Hough,Timothy Cogley,Male
394,"Katz, Samuel I.", Samuel I. Katz,Thomas J. Sargent,Male
395,"Earley, James S.", James S. Earley,Kevin Huang,Male
396,"North, Douglass C.", Douglass C. North,,
397,"Hutchison, T. W.", T. W. Hutchison,Tao Zha,Male
398,"Dorfman, Joseph", Joseph Dorfman,Ben Lockwood,Male
399,"Chenery, Hollis B.", Hollis B. Chenery,,
400,"Nicholls, William H.", William H. Nicholls,,
401,"Young, John H.", John H. Young,Dennis Kristensen,Male
402,"Krutilla, John V.", John V. Krutilla,,
403,"Moore, F. T.", F. T. Moore,,
404,"Moore, Wilbert E.", Wilbert E. Moore,,
405,"Hoselitz, Bert F.", Bert F. Hoselitz,,
406,"Power, John H.", John H. Power,,
407,"Valavanis-Vail, Stefan", Stefan Valavanis-Vail,,
408,"Bronfenbrenner, Martin", Martin Bronfenbrenner,,
409,"Baldwin, Robert E.", Robert E. Baldwin,Guglielmo Weber,Male
410,"Aubrey, Henry G.", Henry G. Aubrey,,
411,"Livingston, J. A.", J. A. Livingston,Francis Kramarz,Male
412,"Turner, Robert C.", Robert C. Turner,,
413,"Bailey, Stephen K.", Stephen K. Bailey,,
414,"Fels, Rendigs", Rendigs Fels,Thomas Dohmen,Male
415,"Roose, Kenneth D.", Kenneth D. Roose,Armin Falk,Male
416,"Robinson, Marshall A.", Marshall A. Robinson,David Huffman,Male
417,"Youngdahl, Richard", Richard Youngdahl,Uwe Sunde,Male
418,"Holland, Daniel M.", Daniel M. Holland,,
419,"Strayer, Paul J.", Paul J. Strayer,Ruqu Wang,Male
420,"Clark, J. M.", J. M. Clark,David G. Blanchflower,Male
421,"Weintraub, Sidney", Sidney Weintraub,,
422,"Whitney, Simon N.", Simon N. Whitney,Richard W. Blundell,Male
423,"Mckie, James W.", James W. Mckie,Durward Brewer,Male
424,"Marengo, Louis", Louis Marengo,,
425,"Penrose, Edith", Edith Penrose,Andrew Shephard,Male
426,"Hickman, C. Addison", C. Addison Hickman,,
427,"Blair, John M.", John M. Blair,,
428,"Poole, Kenyon E.", Kenyon E. Poole,Ilia Rainer,Male
429,"Vickrey, William", William Vickrey,,
430,"Edwards, Ford K.", Ford K. Edwards,,
431,"Goode, Richard", Richard Goode,,
432,"Laursen, Svend", Svend Laursen,,
433,"Mckinley, Erskine", Erskine Mckinley,Jeffrey Grogger,Male
434,"Westfield, Fred M.", Fred M. Westfield,,
435,"Scott, Ira O., Jr.", Ira O. Scott,,
436,"Collery, Arnold P.", Arnold P. Collery,,
437,"Lydall, Harold", Harold Lydall,V. Bhaskar,Male
438,"Gartaganis, Arthur J.", Arthur J. Gartaganis,William Chan,Male
439,"Goldberger, Arthur S.", Arthur S. Goldberger,Pascal Courty,Male
440,"Theil, H.", H. Theil,Li Hao,Male
441,"Dewey, Donald", Donald Dewey,Matthias Sutter,Male
442,"Tobin, James", James Tobin,David Myatt,Male
443,"Scott, Anthony", Anthony Scott,Chris Wallace,Male
444,"Jenkins, H. P. B.", H. P. B. Jenkins,Ananish Chaudhuri,Male
445,"Gordon, Donald F.", Donald F. Gordon,Andrew Schotter,Male
446,"Knight, Frank H.", Frank H. Knight,Barry Sopher,Male
447,"Kuznets, Simon", Simon Kuznets,,
448,"Stocking, George V.", George V. Stocking,John A. Carlson,Male
449,"Mueller, Willard F.", Willard F. Mueller,George W. Evans,Male
450,"Dixit, Avinash", Avinash Dixit,,
451,"Shin, Hyun Song", Hyun Song Shin,Francis X. Diebold,Male
452,"Fehr, Ernst", Ernst Fehr,,
453,"Brown, Martin", Martin Brown,,
454,"Zehnder, Christian", Christian Zehnder,,
455,"Cogley, Timothy", Timothy Cogley,,
456,"Sargent, Thomas J.", Thomas J. Sargent,Juan J. Dolado,Male
457,"Huang, Kevin X. D.", Kevin X. D. Huang,,
458,"Liu, Zheng", Zheng Liu,,
459,"Zha, Tao", Tao Zha,,
460,"Lockwood, Ben", Ben Lockwood,Peter H. Friesen,Male
461,"Migali, Giuseppe", Giuseppe Migali,Tore Ellingsen,Male
462,"Clark, Andrew E.", Andrew E. Clark,Magnus Johannesson,Male
463,"Kristensen, Nicolai", Nicolai Kristensen,,
464,"Westergard-Nielsen, Niels", Niels Westergard-Nielsen,,
465,"Kassenboehmer, Sonja C.", Sonja C. Kassenboehmer,Peter Boone,Male
466,"Haisken-Denew, John P.", John P. Haisken-Denew,Jacob K. Goeree,Male
467,"Gregory-Smith, Ian", Ian Gregory-Smith,,
468,"Thompson, Steve", Steve Thompson,,
469,"Wright, Peter W.", Peter W. Wright,Gary Chamberlain,Male
470,"Luechinger, Simon", Simon Luechinger,Kris James Mitchener,Male
471,"Brunello, Giorgio", Giorgio Brunello,Marc D. Weidenmier,Male
472,"Fort, Margherita", Margherita Fort,,
473,"Weber, Guglielmo", Guglielmo Weber,,
474,"Bressoux, Pascal", Pascal Bressoux,,
475,"Kramarz, Francis", Francis Kramarz,,
476,"Prost, Corinne", Corinne Prost,,
477,"Bold, Tessa", Tessa Bold,,
478,"Dohmen, Thomas", Thomas Dohmen,,
479,"Falk, Armin", Armin Falk,,
480,"Huffman, David", David Huffman,,
481,"Sunde, Uwe", Uwe Sunde,,
482,"Zhang, Jun", Jun Zhang,Thomas Stratmann,Male
483,"Wang, Ruqu", Ruqu Wang,Joshua Linn,Male
484,"Blanchflower, David G.", David G. Blanchflower,,
485,"Shadforth, Chris", Chris Shadforth,,
486,"Blundell, Richard", Richard Blundell,,
487,"Brewer, Mike", Mike Brewer,,
488,"Haan, Peter", Peter Haan,Roman Inderst,Male
489,"Shephard, Andrew", Andrew Shephard,Elias Papaioannou,Male
490,"Breyer, Stephen", Stephen Breyer,,
491,"Francesconi, Marco", Marco Francesconi,,
492,"Rainer, Helmut", Helmut Rainer,,
493,"Van Der Klaauw, Wilbert", Wilbert Van Der Klaauw,David J. Cooper,Male
494,"Gregg, Paul", Paul Gregg,Hanming Fang,Male
495,"Harkness, Susan", Susan Harkness,,
496,"Smith, Sarah", Sarah Smith,Tanmoy Mukherjee,Male
497,"Grogger, Jeffrey", Jeffrey Grogger,Peter Thompson,Male
498,"Karoly, Lynn A.", Lynn A. Karoly,Federico Etro,Male
499,"Hatton, Timothy J.", Timothy J. Hatton,,
500,"Sinclair-Desgagne, Bernard", Bernard Sinclair-Desgagne,Roberto Serrano,Male
501,"Bhaskar, V.", V. Bhaskar,Oscar Volij,Male
502,"Chan, William", William Chan,James R. Lothian,Male
503,"Courty, Pascal", Pascal Courty,,
504,"Hao, Li", Li Hao,Garth Frazer,Male
505,"Sutter, Matthias", Matthias Sutter,Brian Knight,Male
506,"Myatt, David P.", David P. Myatt,,
507,"Wallace, Chris", Chris Wallace,,
508,"Chaudhuri, Ananish", Ananish Chaudhuri,Ian A. Crawford,Male
509,"Schotter, Andrew", Andrew Schotter,J. Peter Neary,Male
510,"Sopher, Barry", Barry Sopher,Oz Shy,Male
511,"Branch, William A.", William A. Branch,,
512,"Carlson, John", John Carlson,Chiara Fumagalli,Female
513,"Evans, George W.", George W. Evans,Massimo Motta,Male
514,"Mcgough, Bruce", Bruce Mcgough,,
515,"Diebold, Francis X.", Francis X. Diebold,Tommaso Valletti,Male
516,"Yilmaz, Kamil", Kamil Yilmaz,,
517,"Kee, Hiau Looi", Hiau Looi Kee,Klaus M. Schmidt,Male
518,"Nicita, Alessandro", Alessandro Nicita,,
519,"Olarreaga, Marcelo", Marcelo Olarreaga,Devashish Mitra,Male
520,"Dolado, Juan J.", Juan J. Dolado,Luís Santos-Pinto,Male
521,"Jansen, Marcel", Marcel Jansen,Philip Bond,Male
522,"Jimeno, Juan F.", Juan F. Jimeno,Matteo Cervellati,Male
