4478,"Goolsbee, A",A Goolsbee,Austan Goolsbee,Male,,
8902,"Gray, A",A Gray,?,?,,
5405,"Green, A",A Green,?,?,,
8909,"Greenspan, A",A Greenspan,Alan Greenspan,Male,,
3064,"Gregory, A",A Gregory,Allan Gregory,Male,,
4438,"Greif, A",A Greif,Avner Greif,Male,,
9972,"Gron, A",A Gron,Anne Gron,Female,,
13941,"Grossbard, A",A Grossbard,?,?,,
3922,"Grossbardshechtman, A",A Grossbardshechtman,Shoshana Grossbard,Female,,
14361,"Guha, A",A Guha,?,?,,
111,"Hagger, A",A Hagger,?,?,,
9868,"Hart, A",A Hart,Albert G. Hart,Male,,
2416,"Harvey, A",A Harvey,Andrew Charles Harvey,Male,,
13498,"Havenner, A",A Havenner,Arthur Havenner,Male,,
288,"Hazelwood, A",A Hazelwood,?,?,,
1532,"Hazlewood, A",A Hazlewood,?,?,,
13403,"Heertje, A",A Heertje,Arnold Heertje,Male,,
8862,"Heifetz, A",A Heifetz,Aviad Heifetz,Male,,
2597,"Henley, A",A Henley,Andrew Henley,Male,,
1603,"Herr, A",A Herr,Annika Herr,Female,,
4938,"Heston, A",A Heston,Alan Heston,Male,,
11724,"Hijzen, A",A Hijzen,Alexander Hijzen,Male,,
3359,"Hirsch, A",A Hirsch,Alexander V. Hirsch,Male,,
4405,"Holland, A",A Holland,?,?,,
218,"Hunter, A",A Hunter,?,?,,
2529,"Hussain, A",A Hussain,Ashiq Hussain,Male,,
3386,"Hynes, A",A Hynes,?,?,,
4364,"Imrohoroglu, A",A Imrohoroglu,Ayse Imrohoroglu,Female,,
14519,"Ingham, A",A Ingham,?,?,,
10091,"Inoue, A",A Inoue,Atsushi Inoue,Male,,
4853,"Jacquemin, A",A Jacquemin,Alexis Jacquemin,Male,,
8864,"Johansson, A",A Johansson,?,?,,
2419,"John, A",A John,A. Andrew John,Male,,
7695,"Jones, A",A Jones,?,?,,
3355,"Kafka, A",A Kafka,Alexandre Kafka,Male,,
238,"Kahan, A",A Kahan,?,?,,
1553,"Kajii, A",A Kajii,Atsushi Kajii,Male,,
4456,"Kapteyn, A",A Kapteyn,Arie Kapteyn,Male,,
11769,"Katsaris, A",A Katsaris,Apostolos Katsaris,Male,,
13443,"Katsenelinboigen, A",A Katsenelinboigen,Aron Katsenelinboigen,Male,,
3797,"Keith, A",A Keith,?,?,,
2020,"Kirman, A",A Kirman,Alan P. Kirman,Male,,
3821,"Klamer, A",A Klamer,Arjo Klamer,Male,,
3817,"Kochar, A",A Kochar,Anjini Kochar,Female,,
11435,"Konakayama, A",A Konakayama,?,?,,
4836,"Kotwal, A",A Kotwal,Ashok Kotwal,Male,,
9039,"Kraay, A",A Kraay,Aart Kraay,Male,,
13860,"Krishnamurthy, A",A Krishnamurthy,Arvind Krishnamurthy,Male,,
13655,"Krueger, A",A Krueger,Alan Kreuger,Male,,
3772,"Kuleshov, A",A Kuleshov,?,?,,
4125,"Lamfalussy, A",A Lamfalussy,Alexandre Lamfalussy,Male,,
13851,"Landier, A",A Landier,Augustin Landier,Male,,
2107,"Leibowitz, A",A Leibowitz,Arleen Leibowitz,Female,,
8950,"Leigh, A",A Leigh,?,?,,
9845,"Leijonhufvud, A",A Leijonhufvud,Axel Leijonhufvud,Male,,
1704,"Levinson, A",A Levinson,Arik Levinson,Male,,
4599,"Lewbel, A",A Lewbel,Arthur Lewbel,Male,,
7727,"Lieberman, A",A Lieberman,?,?,,
9543,"Light, A",A Light,?,?,,
1737,"Lindbeck, A",A Lindbeck,Assar Lindbeck,Male,,
11827,"Lleras-Muney, A",A Lleras-Muney,Adriana Lleras-Muney,Female,,
12076,"Lloyd, A",A Lloyd,?,?,,
4507,"Lusardi, A",A Lusardi,Annamaria Lusardi,Female,,
3489,"Maass, A",A Maass,Arthur Maass,Male,,
8512,"Macewan, A",A Macewan,?,?,,
3260,"Manning, A",A Manning,Alan Manning,Male,,
13611,"Mansoorian, A",A Mansoorian,Arman Mansoorian,Male,,
4907,"Marcet, A",A Marcet,Albert Marcet,Male,,
11465,"Marin, A",A Marin,?,?,,
14341,"Marshall, A",A Marshall,?,?,,
3211,"Martin, A",A Martin,Alberto Martin,Male,,
9061,"Mas-Colell, A",A Mas-Colell,Andreu Mas-Colell,Male,,
13497,"Mascolell, A",A Mascolell,Andreu Mas-Colell,Male,,
14078,"Masson, A",A Masson,Andr? Masson,Male,,
4580,"Matsui, A",A Matsui,Akihiko Matsui,Male,,
5309,"Maynard, A",A Maynard,?,?,,
13408,"Mcgregor, A",A Mcgregor,?,?,,
14229,"Mcknight, A",A Mcknight,?,?,,
8969,"Menendez, A",A Menendez,Alicia Menendez,Female,,
13665,"Metrick, A",A Metrick,Andrew Metrick,Male,,
