"Al-Samarrie, Ahmad",Ahmad Al-Samarrie,Ahmad Al-Samarrie,Male
"Khwaja, Ahmed",Ahmed Khwaja,Ahmed Khwaja,Male
"Mobarak, Ahmed Mushfiq",Ahmed Mushfiq Mobarak,Ahmed Mushfiq Mobarak,Male
"Tahoun, Ahmed",Ahmed Tahoun,Ahmed Tahoun,Male
"Roell, A",A Roell,Ailsa A Roell,Female
"Roell, Ailsa",Ailsa Roell,Ailsa Roell,Female
"Blomqvist, Ag",Ag Blomqvist,Ake Blomqvist,Male
"Matsui, A",A Matsui,Akihiko Matsui,Male
"Maeda, Akira",Akira Maeda,Akira Maeda,Male
"Takayama, A",A Takayama,Akira Takayama,Male
"Enthoven, Ac",Ac Enthoven,Alain C. Enthoven,Male
"Chateauneuf, Alain",Alain Chateauneuf,Alain Chateauneuf,Male
"Cohn, Alain",Alain Cohn,Alain Cohn,Male
"De Janvry, A",A De Janvry,Alain de Janvry,Male
"De Janvry, Alain",Alain De Janvry,Alain De Janvry,Male
"Dejanvry, A",A Dejanvry,Alain de Janvry,Male
"Delacroix, Alain",Alain Delacroix,Alain Delacroix,Male
"Guay, Alain",Alain Guay,Alain Guay,Male
"Monfort, A.",A. Monfort,Alain Monfort,Male
"Holla, Alaka",Alaka Holla,Alaka Holla,Female
"Walters, Aa",Aa Walters,Alan Arthur Walters,Male
"Batchelder, A",A Batchelder,Alan B. Batchelder,Male
"Krueger, Ab",Ab Krueger,Alan B. Krueger,Male
"Krueger, Ab",Ab Krueger,Alan B. Krueger,Male
"Krueger, Alan B.",Alan B. Krueger,Alan B. Krueger,Male
"Benson, Alan",Alan Benson,Alan Benson,Male
"Budd, A",A Budd,Alan Budd,Male
"Hess, Ac",Ac Hess,Alan C. Hess,Male
"Stockman, Ac",Ac Stockman,Alan C. Stockman,Male
"Carlin, A",A Carlin,Alan Carlin,Male
"Carruth, A",A Carruth,Alan Carruth,Male
"Carruth, Alan",Alan Carruth,Alan Carruth,Male
"Coddington, A",A Coddington,Alan Coddington,Male
"Woodland, Ad",Ad Woodland,Alan D. Woodland,Male
"Debrauw, A",A Debrauw,Alan de Brauw,Male
"De Bromhead, Alan",Alan De Bromhead,Alan De Bromhead,Male
"Deckelbaum, Alan",Alan Deckelbaum,Alan Deckelbaum,Male
"Duncan, A",A Duncan,Alan Duncan,Male
"Fechter, Alan E.",Alan E. Fechter,Alan E. Fechter,Male
"Fernihough, Alan",Alan Fernihough,Alan Fernihough,Male
"Fuchs, Alan",Alan Fuchs,Alan Fuchs,Male
"Gelb, A",A Gelb,Alan Gelb,Male
"Greenspan, A",A Greenspan,Alan Greenspan,Male
"Temple, Alan H.",Alan H. Temple,Alan H. Temple,Male
"Heston, A",A Heston,Alan Heston,Male
"Heston, Aw",Aw Heston,Alan Heston,Male
"Hughes, Alan",Alan Hughes,Alan Hughes,Male
"Barreca, Alan",Alan Barreca,Alan I. Barreca,Male
"Auerbach, Aj",Aj Auerbach,Alan J. Auerbach,Male
"Auerbach, Alan J.",Alan J. Auerbach,Alan J. Auerbach,Male
"Fox, A",A Fox,Alan K. Fox,Male
"Kirman, Alan",Alan Kirman,Alan Kirman,Male
"Krueger, A",A Krueger,Alan Kreuger,Male
"Kwan, Alan",Alan Kwan,Alan Kwan,Male
"Gustman, Al",Al Gustman,Alan L. Gustman,Male
"Olmstead, Al",Al Olmstead,Alan L. Olmstead,Male
"Rugman, Am",Am Rugman,Alan M. Rugman,Male
"Taylor, Alan M.",Alan M. Taylor,Alan M. Taylor,Male
"Manning, A",A Manning,Alan Manning,Male
"Manning, Alan",Alan Manning,Alan Manning,Male
"Mathios, Ad",Ad Mathios,Alan Mathios,Male
"Morrison, Ad",Ad Morrison,Alan Morrison,Male
"Kirman, A",A Kirman,Alan P. Kirman,Male
"Kirman, Ap",Ap Kirman,Alan P. Kirman,Male
"Powell, A",A Powell,Alan Powell,Male
"Sweezy, Alan R.",Alan R. Sweezy,Alan R. Sweezy,Male
"Blinder, Alan S.",Alan S. Blinder,Alan S. Blinder,Male
"Blinder, As",As Blinder,Alan S. Blinder,Male
"Donnahoe, Alan S.",Alan S. Donnahoe,Alan S. Donnahoe,Male
"Manne, Alan S.",Alan S. Manne,Alan S. Manne,Male
"Manne, As",As Manne,Alan S. Manne,Male
"Spiro, A",A Spiro,Alan Spiro,Male
"Sutherland, A",A Sutherland,Alan Sutherland,Male
"Sweezy, Alan",Alan Sweezy,Alan Sweezy,Male
"Peacock, A",A Peacock,Alan T. Peacock,Male
"Peacock, A. T.",A. T. Peacock,Alan T. Peacock,Male
"Peacock, Alan T.",Alan T. Peacock,Alan T. Peacock,Male
"Peacock, At",At Peacock,Alan T. Peacock,Male
"Deardorff, Av",Av Deardorff,Alan V. Deardorff,Male
"Woodfield, A",A Woodfield,Alan Woodfield,Male
"Brown, Alasdair",Alasdair Brown,Alasdair Brown,Male
"Hall, Ar",Ar Hall,Alastair R Hall,Male
"Hall, Ar",Ar Hall,Alastair R Hall,Male
"Ando, A",A Ando,Albert Ando,Male
"Ando, Ak",Ak Ando,Albert Ando,Male
"Wolfe, Albert B.",Albert B. Wolfe,Albert B. Wolfe,Male
"Breton, A",A Breton,Albert Breton,Male
"Rees, A",A Rees,Albert E. Rees,Male
"Fishlow, A",A Fishlow,Albert Fishlow,Male
"Hart, A",A Hart,Albert G. Hart,Male
"Hart, Ag",Ag Hart,Albert G. Hart,Male
"Hart, Albert G.",Albert G. Hart,Albert G. Hart,Male
"Schweinberger, Ag",Ag Schweinberger,Albert G. Schweinberger,Male
"Hart, Albert Gailord",Albert Gailord Hart,Albert Gailord Hart,Male
"Choi, Albert H.",Albert H. Choi,Albert H. Choi,Male
"Meyers, Albert L.",Albert L. Meyers,Albert L. Meyers,Male
"Marcet, A",A Marcet,Albert Marcet,Male
"Marcet, Albert",Albert Marcet,Albert Marcet,Male
"Hirschman, Ao",Ao Hirschman,Albert O Hirschman,Male
"Hirschman, Albert O.",Albert O. Hirschman,Albert O. Hirschman,Male
"Park, Albert",Albert Park,Albert Park,Male
"Rees, Albert",Albert Rees,Albert Rees,Male
"Bergstrom, A. R.",A. R. Bergstrom,Albert Rex Bergstrom,Male
"Bergstrom, Ar",Ar Bergstrom,Albert Rex Bergstrom,Male
"Kyle, Albert S.",Albert S. Kyle,Albert S. Kyle,Male
"Kyle, As",As Kyle,Albert S. Kyle,Male
"Satorra, A",A Satorra,Albert Satorra,Male
"Abadie, Alberto",Alberto Abadie,Alberto Abadie,Male
"Alesina, A",A Alesina,Alberto Alesina,Male
"Alesina, Alberto",Alberto Alesina,Alberto Alesina,Male
"Bisin, Alberto",Alberto Bisin,Alberto Bisin,Male
"Cavallo, Alberto",Alberto Cavallo,Alberto Cavallo,Male
"Davila, Alberto",Alberto Davila,Alberto Davila,Male
"Ades, A",A Ades,Alberto F. Ades,Male
"Martin, A",A Martin,Alberto Martin,Male
"Valdes, A",A Valdes,Alberto Valdes,Male
"Zazzaro, A",A Zazzaro,Alberto Zazzaro,Male
"Glitz, Albrecht",Albrecht Glitz,Albrecht Glitz,Male
"Rustichini, A",A Rustichini,Aldo Rustichini,Male
"Rustichini, Aldo",Aldo Rustichini,Aldo Rustichini,Male
"Tsyvinski, Aleh",Aleh Tsyvinski,Aleh Tsyvinski,Male
"Cunat, Alejandro",Alejandro Cunat,Alejandro Cunat,Male
"Donado, Alejandro",Alejandro Donado,Alejandro Donado,Male
"Izquierdo, Alejandro",Alejandro Izquierdo,Alejandro Izquierdo,Male
"Ganimian, Alejandro J.",Alejandro J. Ganimian,Alejandro J. Ganimian,Male
"Justiniano, Alejandro",Alejandro Justiniano,Alejandro Justiniano,Male
"Manelli, Alejandro",Alejandro Manelli,Alejandro Manelli,Male
"Martinez-Marquina, Alejandro",Alejandro Martinez-Marquina,Alejandro Martinez-Marquina,Male
"Ponce, Alejandro",Alejandro Ponce,Alejandro Ponce,Male
"Rivera, Alejandro",Alejandro Rivera,Alejandro Rivera,Male
"Berentsen, Aleksander",Aleksander Berentsen,Aleksander Berentsen,Male
"Tetenov, Aleksey",Aleksey Tetenov,Aleksey Tetenov,Male
"Cerny, A",A Cerny,Ales Cerny,Male
"Casarico, A",A Casarico,Alessandra Casarico,Female
"Casella, A",A Casella,Alessandra Casella,Female
"Casella, Alessandra",Alessandra Casella,Alessandra Casella,Female
"Bonfiglioli, Alessandra",Alessandra Bonfiglioli,Alessandra Cassar,Female
"Cassar, A.",A. Cassar,Alessandra Cassar,Female
"Cassar, Alessandra",Alessandra Cassar,Alessandra Cassar,Female
"Pelloni, A",A Pelloni,Alessandra Pelloni,Female
"Voena, Alessandra",Alessandra Voena,Alessandra Voena,Female
"Bonatti, Alessandro",Alessandro Bonatti,Alessandro Bonatti,Male
"Cigno, A",A Cigno,Alessandro Cigno,Male
"Dovis, Alessandro",Alessandro Dovis,Alessandro Dovis,Male
"Gavazza, Alessandro",Alessandro Gavazza,Alessandro Gavazza,Male
"Iaria, Alessandro",Alessandro Iaria,Alessandro Iaria,Male
"Lizzeri, Alessandro",Alessandro Lizzeri,Alessandro Lizzeri,Male
"Marchesiani, Alessandro",Alessandro Marchesiani,Alessandro Marchesiani,Male
"Missale, A",A Missale,Alessandro Missale,Male
"Nicita, Alessandro",Alessandro Nicita,Alessandro Nicita,Male
"Pavan, A",A Pavan,Alessandro Pavan,Male
"Pavan, Alessandro",Alessandro Pavan,Alessandro Pavan,Male
"Riboni, Alessandro",Alessandro Riboni,Alessandro Riboni,Male
"Tarozzi, Alessandro",Alessandro Tarozzi,Alessandro Tarozzi,Male
"Lo Turco, Alessia",Alessia Lo Turco,Alessia Lo Turco,Female
"Armand, Alex",Alex Armand,Alex Armand,Male
"Bell, Alex",Alex Bell,Alex Bell,Male
"Bryson, Alex",Alex Bryson,Alex Bryson,Male
"Cukierman, A",A Cukierman,Alex Cukierman,Male
"Frankel, Alex",Alex Frankel,Alex Frankel,Male
"Hunter, Alex",Alex Hunter,Alex Hunter,Male
"Imas, Alex",Alex Imas,Alex Imas,Male
"Rees-Jones, Alex",Alex Rees-Jones,Alex Rees-Jones,Male
"Smolin, Alex",Alex Smolin,Alex Smolin,Male
"Solis, Alex",Alex Solis,Alex Solis,Male
"Smith, Alexander A.",Alexander A. Smith,Alexander A. Smith,Male
"Baykov, Alexander",Alexander Baykov,Alexander Baykov,Male
"Belinfante, A",A Belinfante,Alexander Belinfante,Male
"Bick, Alexander",Alexander Bick,Alexander Bick,Male
"Cairncross, A",A Cairncross,Alexander Cairncross,Male
"Carrsaunders, A",A Carrsaunders,Alexander Carr-Saunders,Male
"Chudik, A.",A. Chudik,Alexander Chudik,Male
"Rothenberg, Alexander D.",Alexander D. Rothenberg,Alexander D. Rothenberg,Male
"Erlich, A",A Erlich,Alexander Erlich,Male
"Erlich, Alexander",Alexander Erlich,Alexander Erlich,Male
"Frankel, Alexander",Alexander Frankel,Alexander Frankel,Male
"James, Alexander G.",Alexander G. James,Alexander G. James,Male
"Galetovic, A",A Galetovic,Alexander Galetovic,Male
"Gelber, Alexander",Alexander Gelber,Alexander Gelber,Male
"Gerschenkron, A",A Gerschenkron,Alexander Gerschenkron,Male
"Gerschenkron, Alexander",Alexander Gerschenkron,Alexander Gerschenkron,Male
"Gray, Alexander",Alexander Gray,Alexander Gray,Male
"Guembel, Alexander",Alexander Guembel,Alexander Guembel,Male
"Henderson, Alexander",Alexander Henderson,Alexander Henderson,Male
"Hijzen, A",A Hijzen,Alexander Hijzen,Male
"Kriwoluzky, Alexander",Alexander Kriwoluzky,Alexander Kriwoluzky,Male
"Brown, A",A Brown,Alexander L. Brown,Male
"Brown, Aj",Aj Brown,Alexander L. Brown,Male
"Ljungqvist, Alexander",Alexander Ljungqvist,Alexander Ljungqvist,Male
"Danzer, Alexander M.",Alexander M. Danzer,Alexander M. Danzer,Male
"Jakobsen, Alexander M.",Alexander M. Jakobsen,Alexander M. Jakobsen,Male
"Michaelides, A",A Michaelides,Alexander Michaelides,Male
"Moradi, Alexander",Alexander Moradi,Alexander Moradi,Male
"Nove, A",A Nove,Alexander Nove,Male
"Popov, Alexander",Alexander Popov,Alexander Popov,Male
"Sebald, Alexander",Alexander Sebald,Alexander Sebald,Male
"Teytelboym, Alexander",Alexander Teytelboym,Alexander Teytelboym,Male
"Torgovitsky, Alexander",Alexander Torgovitsky,Alexander Torgovitsky,Male
"Hirsch, A",A Hirsch,Alexander V. Hirsch,Male
"Cappelen, Alexander W.",Alexander W. Cappelen,Alexander W. Cappelen,Male
"Richter, Alexander W.",Alexander W. Richter,Alexander W. Richter,Male
"Westkamp, Alexander",Alexander Westkamp,Alexander Westkamp,Male
"Whalley, Alexander",Alexander Whalley,Alexander Whalley,Male
"White, Alexander",Alexander White,Alexander White,Male
"Wolitzky, Alexander",Alexander Wolitzky,Alexander Wolitzky,Male
"Roulet, Alexandra",Alexandra Roulet,Alexandra Roulet,Female
"Janiak, Alexandre",Alexandre Janiak,Alexandre Janiak,Male
"Kafka, A",A Kafka,Alexandre Kafka,Male
"Lamfalussy, A",A Lamfalussy,Alexandre Lamfalussy,Male
"Mas, Alexandre",Alexandre Mas,Alexandre Mas,Male
"Poirier, Alexandre",Alexandre Poirier,Alexandre Poirier,Male
"Schneider, Alexandre",Alexandre Schneider,Alexandre Schneider,Male
"Minea, Alexandru",Alexandru Minea,Alexandru Minea,Male
"Onatski, Alexei",Alexei Onatski,Alexei Onatski,Male
"Parakhonyak, Alexei",Alexei Parakhonyak,Alexei Parakhonyak,Male
"Savov, Alexi",Alexi Savov,Alexi Savov,Male
"Jacquemin, A",A Jacquemin,Alexis Jacquemin,Male
"Flores-Lagunes, A",A Flores-Lagunes,Alfonso Flores-Lagunes,Male
"Bornemann, Alfred",Alfred Bornemann,Alfred Bornemann,Male
"Neal, Alfred C.",Alfred C. Neal,Alfred C. Neal,Male
"Cowles, Alfred",Alfred Cowles,Alfred Cowles,Male
"Kahn, Alfred E.",Alfred E. Kahn,Alfred E. Kahn,Male
"Chalk, Alfred F.",Alfred F. Chalk,Alfred F. Chalk,Male
"Buehler, Alfred G.",Alfred G. Buehler,Alfred G. Buehler,Male
"Pundt, Alfred G.",Alfred G. Pundt,Alfred G. Pundt,Male
"Galichon, Alfred",Alfred Galichon,Alfred Galichon,Male
"Guender, Av",Av Guender,Alfred Guender,Male
"Marshall, Alfred",Alfred Marshall,Alfred Marshall,Male
"Nicols, Alfred",Alfred Nicols,Alfred Nicols,Male
"Oxenfeldt, Alfred R.",Alfred R. Oxenfeldt,Alfred R. Oxenfeldt,Male
"Sherrard, Alfred",Alfred Sherrard,Alfred Sherrard,Male
"Steinherr, A",A Steinherr,Alfred Steinherr,Male
